country	year	ddd.per.thousand	sector	atc	notes
Spain	2015	1.64	AC	J01D	NA
Sweden	2015	0.14	AC	J01D	NA
United Kingdom	2015	0.29	AC	J01D	NA
Austria	2015	0.31	AC	J01DB	NA
Belgium	2015	0.1	AC	J01DB	NA
Bulgaria	2015	0.14	AC	J01DB	NA
Croatia	2015	0.66	AC	J01DB	NA
Cyprus	2015	0.28	AC	J01DB	pc.hosp.total
Czech Republic	2015	0.09	AC	J01DB	NA
Denmark	2015	NA	AC	J01DB	reported.zero
Estonia	2015	0.21	AC	J01DB	NA
Finland	2015	2.05	AC	J01DB	NA
France	2015	0.03	AC	J01DB	NA
Germany	2015	0.05	AC	J01DB	NA
Greece	2015	NA	AC	J01DB	reported.zero
Hungary	2015	0.01	AC	J01DB	NA
Iceland	2015	0.45	AC	J01DB	NA
Ireland	2015	0.28	AC	J01DB	NA
Italy	2015	0.07	AC	J01DB	NA
Latvia	2015	0.18	AC	J01DB	NA
Liechtenstein	2015	NA	AC	J01DB	missing.data
Lithuania	2015	0.26	AC	J01DB	NA
Luxembourg	2015	0.12	AC	J01DB	NA
Malta	2015	0.04	AC	J01DB	NA
Netherlands	2015	NA	AC	J01DB	reported.zero
Norway	2015	0.07	AC	J01DB	NA
Poland	2015	0.13	AC	J01DB	NA
Portugal	2015	0.28	AC	J01DB	NA
Romania	2015	0.35	AC	J01DB	pc.hosp.total
Slovakia	2015	0.24	AC	J01DB	NA
Slovenia	2015	0.01	AC	J01DB	NA
Spain	2015	0.01	AC	J01DB	NA
Sweden	2015	0.11	AC	J01DB	NA
United Kingdom	2015	0.25	AC	J01DB	NA
Austria	2015	0.9	AC	J01DC	NA
Belgium	2015	1.34	AC	J01DC	NA
Bulgaria	2015	3.01	AC	J01DC	NA
Croatia	2015	1.85	AC	J01DC	NA
Cyprus	2015	4.03	AC	J01DC	pc.hosp.total
Czech Republic	2015	1.99	AC	J01DC	NA
Denmark	2015	0.02	AC	J01DC	NA
Estonia	2015	0.99	AC	J01DC	NA
Finland	2015	0.05	AC	J01DC	NA
France	2015	0.48	AC	J01DC	NA
Germany	2015	2.72	AC	J01DC	NA
Greece	2015	7.35	AC	J01DC	NA
Hungary	2015	1.76	AC	J01DC	NA
Iceland	2015	0.01	AC	J01DC	NA
Ireland	2015	0.84	AC	J01DC	NA
Italy	2015	0.28	AC	J01DC	NA
Latvia	2015	0.3	AC	J01DC	NA
Liechtenstein	2015	NA	AC	J01DC	missing.data
Lithuania	2015	0.89	AC	J01DC	NA
Luxembourg	2015	3.33	AC	J01DC	NA
Malta	2015	3.33	AC	J01DC	NA
Netherlands	2015	0.02	AC	J01DC	NA
Norway	2015	NA	AC	J01DC	reported.zero
Poland	2015	2.72	AC	J01DC	NA
Portugal	2015	1.09	AC	J01DC	NA
Romania	2015	3.61	AC	J01DC	pc.hosp.total
Slovakia	2015	3.71	AC	J01DC	NA
Slovenia	2015	0.24	AC	J01DC	NA
Spain	2015	1.24	AC	J01DC	NA
Sweden	2015	NA	AC	J01DC	reported.zero
United Kingdom	2015	0.02	AC	J01DC	NA
Austria	2015	0.23	AC	J01DD	NA
Belgium	2015	NA	AC	J01DD	reported.zero
Bulgaria	2015	0.74	AC	J01DD	NA
Croatia	2015	0.23	AC	J01DD	NA
Cyprus	2015	0.83	AC	J01DD	pc.hosp.total
Czech Republic	2015	0.08	AC	J01DD	NA
Denmark	2015	NA	AC	J01DD	reported.zero
Estonia	2015	0.01	AC	J01DD	NA
Finland	2015	NA	AC	J01DD	reported.zero
France	2015	1.6	AC	J01DD	NA
Germany	2015	0.33	AC	J01DD	NA
Greece	2015	0.11	AC	J01DD	NA
Hungary	2015	0.21	AC	J01DD	NA
Iceland	2015	NA	AC	J01DD	reported.zero
Ireland	2015	0.04	AC	J01DD	NA
Italy	2015	1.97	AC	J01DD	NA
Latvia	2015	0.04	AC	J01DD	NA
Liechtenstein	2015	NA	AC	J01DD	missing.data
Lithuania	2015	0.01	AC	J01DD	NA
Luxembourg	2015	0.02	AC	J01DD	NA
Malta	2015	0.74	AC	J01DD	NA
Netherlands	2015	0.01	AC	J01DD	NA
Norway	2015	0.01	AC	J01DD	NA
Poland	2015	0.02	AC	J01DD	NA
Portugal	2015	0.19	AC	J01DD	NA
Romania	2015	1.27	AC	J01DD	pc.hosp.total
Slovakia	2015	0.76	AC	J01DD	NA
Slovenia	2015	0.06	AC	J01DD	NA
Spain	2015	0.39	AC	J01DD	NA
Sweden	2015	0.03	AC	J01DD	NA
United Kingdom	2015	0.01	AC	J01DD	NA
Austria	2015	1e-04	AC	J01DE	NA
Belgium	2015	NA	AC	J01DE	reported.zero
Bulgaria	2015	2e-04	AC	J01DE	NA
Croatia	2015	NA	AC	J01DE	reported.zero
Cyprus	2015	9e-04	AC	J01DE	pc.hosp.total
Czech Republic	2015	0.0045	AC	J01DE	NA
Denmark	2015	NA	AC	J01DE	reported.zero
Estonia	2015	NA	AC	J01DE	reported.zero
Finland	2015	NA	AC	J01DE	reported.zero
France	2015	0.0014	AC	J01DE	NA
Germany	2015	NA	AC	J01DE	reported.zero
Greece	2015	0.0078	AC	J01DE	NA
Hungary	2015	NA	AC	J01DE	reported.zero
Iceland	2015	NA	AC	J01DE	reported.zero
Ireland	2015	NA	AC	J01DE	reported.zero
Italy	2015	0.0077	AC	J01DE	NA
Latvia	2015	NA	AC	J01DE	reported.zero
Liechtenstein	2015	NA	AC	J01DE	missing.data
Lithuania	2015	NA	AC	J01DE	reported.zero
Luxembourg	2015	NA	AC	J01DE	reported.zero
Malta	2015	NA	AC	J01DE	reported.zero
Netherlands	2015	NA	AC	J01DE	reported.zero
Norway	2015	NA	AC	J01DE	reported.zero
Poland	2015	NA	AC	J01DE	reported.zero
Portugal	2015	NA	AC	J01DE	reported.zero
Romania	2015	5e-04	AC	J01DE	pc.hosp.total
Slovakia	2015	NA	AC	J01DE	reported.zero
Slovenia	2015	NA	AC	J01DE	reported.zero
Spain	2015	NA	AC	J01DE	reported.zero
Sweden	2015	NA	AC	J01DE	reported.zero
United Kingdom	2015	NA	AC	J01DE	reported.zero
Austria	2015	NA	AC	J01DF	reported.zero
Belgium	2015	NA	AC	J01DF	reported.zero
Bulgaria	2015	NA	AC	J01DF	reported.zero
Croatia	2015	NA	AC	J01DF	reported.zero
Cyprus	2015	NA	AC	J01DF	reported.zero
Czech Republic	2015	NA	AC	J01DF	reported.zero
Denmark	2015	0.0027	AC	J01DF	NA
Estonia	2015	NA	AC	J01DF	reported.zero
Finland	2015	NA	AC	J01DF	reported.zero
France	2015	0.0014	AC	J01DF	NA
Germany	2015	0.0035	AC	J01DF	NA
Greece	2015	1e-04	AC	J01DF	NA
Hungary	2015	NA	AC	J01DF	reported.zero
Iceland	2015	NA	AC	J01DF	reported.zero
Ireland	2015	2e-04	AC	J01DF	NA
Italy	2015	NA	AC	J01DF	reported.zero
Latvia	2015	NA	AC	J01DF	reported.zero
Liechtenstein	2015	NA	AC	J01DF	missing.data
Lithuania	2015	NA	AC	J01DF	reported.zero
Luxembourg	2015	NA	AC	J01DF	reported.zero
Malta	2015	NA	AC	J01DF	reported.zero
Netherlands	2015	0.0022	AC	J01DF	NA
Norway	2015	4e-04	AC	J01DF	NA
Poland	2015	NA	AC	J01DF	reported.zero
Portugal	2015	3e-04	AC	J01DF	NA
Romania	2015	NA	AC	J01DF	reported.zero
Slovakia	2015	NA	AC	J01DF	reported.zero
Slovenia	2015	NA	AC	J01DF	reported.zero
Spain	2015	NA	AC	J01DF	reported.zero
Sweden	2015	4e-04	AC	J01DF	NA
United Kingdom	2015	0.0023	AC	J01DF	NA
Austria	2015	0.001	AC	J01DH	NA
Belgium	2015	NA	AC	J01DH	reported.zero
Bulgaria	2015	0.001	AC	J01DH	NA
Croatia	2015	NA	AC	J01DH	reported.zero
Cyprus	2015	0.132	AC	J01DH	pc.hosp.total
Czech Republic	2015	0.06	AC	J01DH	NA
Denmark	2015	0.001	AC	J01DH	NA
Estonia	2015	NA	AC	J01DH	reported.zero
Finland	2015	NA	AC	J01DH	reported.zero
France	2015	0.005	AC	J01DH	NA
Germany	2015	0.001	AC	J01DH	NA
Greece	2015	0.076	AC	J01DH	NA
Hungary	2015	NA	AC	J01DH	reported.zero
Iceland	2015	0.001	AC	J01DH	NA
Ireland	2015	0.002	AC	J01DH	NA
Italy	2015	NA	AC	J01DH	reported.zero
Latvia	2015	NA	AC	J01DH	reported.zero
Liechtenstein	2015	NA	AC	J01DH	missing.data
Lithuania	2015	NA	AC	J01DH	reported.zero
Luxembourg	2015	NA	AC	J01DH	reported.zero
Malta	2015	NA	AC	J01DH	reported.zero
Netherlands	2015	0.001	AC	J01DH	NA
Norway	2015	0.002	AC	J01DH	NA
Poland	2015	NA	AC	J01DH	reported.zero
Portugal	2015	NA	AC	J01DH	reported.zero
Romania	2015	0.049	AC	J01DH	pc.hosp.total
Slovakia	2015	0.003	AC	J01DH	NA
Slovenia	2015	NA	AC	J01DH	reported.zero
Spain	2015	NA	AC	J01DH	reported.zero
Sweden	2015	NA	AC	J01DH	reported.zero
United Kingdom	2015	0.01	AC	J01DH	NA
Austria	2015	1e-05	AC	J01DI	NA
Belgium	2015	NA	AC	J01DI	reported.zero
Bulgaria	2015	1e-05	AC	J01DI	NA
Croatia	2015	NA	AC	J01DI	reported.zero
Cyprus	2015	NA	AC	J01DI	reported.zero
Czech Republic	2015	0.00032	AC	J01DI	NA
Denmark	2015	NA	AC	J01DI	reported.zero
Estonia	2015	NA	AC	J01DI	reported.zero
Finland	2015	NA	AC	J01DI	reported.zero
France	2015	NA	AC	J01DI	reported.zero
Germany	2015	NA	AC	J01DI	reported.zero
Greece	2015	NA	AC	J01DI	reported.zero
Hungary	2015	NA	AC	J01DI	reported.zero
Iceland	2015	NA	AC	J01DI	reported.zero
Ireland	2015	NA	AC	J01DI	reported.zero
Italy	2015	NA	AC	J01DI	reported.zero
Latvia	2015	NA	AC	J01DI	reported.zero
Liechtenstein	2015	NA	AC	J01DI	missing.data
Lithuania	2015	NA	AC	J01DI	reported.zero
Luxembourg	2015	NA	AC	J01DI	reported.zero
Malta	2015	NA	AC	J01DI	reported.zero
Netherlands	2015	NA	AC	J01DI	reported.zero
Norway	2015	NA	AC	J01DI	reported.zero
Poland	2015	NA	AC	J01DI	reported.zero
Portugal	2015	NA	AC	J01DI	reported.zero
Romania	2015	0.00037	AC	J01DI	pc.hosp.total
Slovakia	2015	NA	AC	J01DI	reported.zero
Slovenia	2015	NA	AC	J01DI	reported.zero
Spain	2015	NA	AC	J01DI	reported.zero
Sweden	2015	NA	AC	J01DI	reported.zero
United Kingdom	2015	NA	AC	J01DI	reported.zero
Austria	2015	NA	AC	J01DZ	reported.zero
Belgium	2015	NA	AC	J01DZ	reported.zero
Bulgaria	2015	NA	AC	J01DZ	reported.zero
Croatia	2015	NA	AC	J01DZ	reported.zero
Cyprus	2015	NA	AC	J01DZ	reported.zero
Czech Republic	2015	NA	AC	J01DZ	reported.zero
Denmark	2015	NA	AC	J01DZ	reported.zero
Estonia	2015	NA	AC	J01DZ	reported.zero
Finland	2015	NA	AC	J01DZ	reported.zero
France	2015	NA	AC	J01DZ	reported.zero
Germany	2015	NA	AC	J01DZ	reported.zero
Greece	2015	NA	AC	J01DZ	reported.zero
Hungary	2015	NA	AC	J01DZ	reported.zero
Iceland	2015	NA	AC	J01DZ	reported.zero
Ireland	2015	NA	AC	J01DZ	reported.zero
Italy	2015	NA	AC	J01DZ	reported.zero
Latvia	2015	NA	AC	J01DZ	reported.zero
Liechtenstein	2015	NA	AC	J01DZ	missing.data
Lithuania	2015	NA	AC	J01DZ	reported.zero
Luxembourg	2015	NA	AC	J01DZ	reported.zero
Malta	2015	NA	AC	J01DZ	reported.zero
Netherlands	2015	NA	AC	J01DZ	reported.zero
Norway	2015	NA	AC	J01DZ	reported.zero
Poland	2015	NA	AC	J01DZ	reported.zero
Portugal	2015	NA	AC	J01DZ	reported.zero
Romania	2015	NA	AC	J01DZ	reported.zero
Slovakia	2015	NA	AC	J01DZ	reported.zero
Slovenia	2015	NA	AC	J01DZ	reported.zero
Spain	2015	NA	AC	J01DZ	reported.zero
Sweden	2015	NA	AC	J01DZ	reported.zero
United Kingdom	2015	NA	AC	J01DZ	reported.zero
Austria	2015	0.19	AC	J01E	NA
Belgium	2015	0.21	AC	J01E	NA
Bulgaria	2015	0.79	AC	J01E	NA
Croatia	2015	0.63	AC	J01E	NA
Cyprus	2015	0.22	AC	J01E	pc.hosp.total
Czech Republic	2015	0.88	AC	J01E	NA
Denmark	2015	0.73	AC	J01E	NA
Estonia	2015	0.43	AC	J01E	NA
Finland	2015	1.25	AC	J01E	NA
France	2015	0.41	AC	J01E	NA
Germany	2015	0.47	AC	J01E	NA
Greece	2015	0.41	AC	J01E	NA
Hungary	2015	0.51	AC	J01E	NA
Iceland	2015	0.58	AC	J01E	NA
Ireland	2015	1.04	AC	J01E	NA
Italy	2015	0.34	AC	J01E	NA
Latvia	2015	0.84	AC	J01E	NA
Liechtenstein	2015	NA	AC	J01E	missing.data
Lithuania	2015	0.36	AC	J01E	NA
Luxembourg	2015	0.28	AC	J01E	NA
Malta	2015	0.24	AC	J01E	NA
Netherlands	2015	0.43	AC	J01E	NA
Norway	2015	0.67	AC	J01E	NA
Poland	2015	0.58	AC	J01E	NA
Portugal	2015	0.43	AC	J01E	NA
Romania	2015	0.89	AC	J01E	pc.hosp.total
Slovakia	2015	0.45	AC	J01E	NA
Slovenia	2015	0.79	AC	J01E	NA
Spain	2015	0.27	AC	J01E	NA
Sweden	2015	0.4	AC	J01E	NA
United Kingdom	2015	1.32	AC	J01E	NA
Austria	2015	0.12	AC	J01EA	NA
Belgium	2015	NA	AC	J01EA	reported.zero
Bulgaria	2015	NA	AC	J01EA	reported.zero
Croatia	2015	NA	AC	J01EA	reported.zero
Cyprus	2015	NA	AC	J01EA	pc.hosp.totalreported.zero
Czech Republic	2015	0.13	AC	J01EA	NA
Denmark	2015	0.56	AC	J01EA	NA
Estonia	2015	0.03	AC	J01EA	NA
Finland	2015	0.85	AC	J01EA	NA
France	2015	NA	AC	J01EA	reported.zero
Germany	2015	0.05	AC	J01EA	NA
Greece	2015	NA	AC	J01EA	reported.zero
Hungary	2015	NA	AC	J01EA	reported.zero
Iceland	2015	0.27	AC	J01EA	NA
Ireland	2015	0.88	AC	J01EA	NA
Italy	2015	NA	AC	J01EA	reported.zero
Latvia	2015	0.01	AC	J01EA	NA
Liechtenstein	2015	NA	AC	J01EA	missing.data
Lithuania	2015	0.01	AC	J01EA	NA
Luxembourg	2015	NA	AC	J01EA	reported.zero
Malta	2015	NA	AC	J01EA	reported.zero
Netherlands	2015	0.14	AC	J01EA	NA
Norway	2015	0.34	AC	J01EA	NA
Poland	2015	0.07	AC	J01EA	NA
Portugal	2015	NA	AC	J01EA	reported.zero
Romania	2015	NA	AC	J01EA	reported.zero
Slovakia	2015	0.02	AC	J01EA	NA
Slovenia	2015	NA	AC	J01EA	reported.zero
Spain	2015	NA	AC	J01EA	reported.zero
Sweden	2015	0.14	AC	J01EA	NA
United Kingdom	2015	1.19	AC	J01EA	NA
Austria	2015	NA	AC	J01EB	reported.zero
Belgium	2015	NA	AC	J01EB	reported.zero
Bulgaria	2015	NA	AC	J01EB	reported.zero
Croatia	2015	NA	AC	J01EB	reported.zero
Cyprus	2015	NA	AC	J01EB	reported.zero
Czech Republic	2015	NA	AC	J01EB	reported.zero
Denmark	2015	0.176	AC	J01EB	NA
Estonia	2015	NA	AC	J01EB	reported.zero
Finland	2015	NA	AC	J01EB	reported.zero
France	2015	0.002	AC	J01EB	NA
Germany	2015	NA	AC	J01EB	reported.zero
Greece	2015	NA	AC	J01EB	reported.zero
Hungary	2015	NA	AC	J01EB	reported.zero
Iceland	2015	NA	AC	J01EB	reported.zero
Ireland	2015	NA	AC	J01EB	reported.zero
Italy	2015	NA	AC	J01EB	reported.zero
Latvia	2015	NA	AC	J01EB	reported.zero
Liechtenstein	2015	NA	AC	J01EB	missing.data
Lithuania	2015	NA	AC	J01EB	reported.zero
Luxembourg	2015	NA	AC	J01EB	reported.zero
Malta	2015	NA	AC	J01EB	reported.zero
Netherlands	2015	NA	AC	J01EB	reported.zero
Norway	2015	NA	AC	J01EB	reported.zero
Poland	2015	NA	AC	J01EB	reported.zero
Portugal	2015	NA	AC	J01EB	reported.zero
Romania	2015	0.006	AC	J01EB	pc.hosp.total
Slovakia	2015	NA	AC	J01EB	reported.zero
Slovenia	2015	NA	AC	J01EB	reported.zero
Spain	2015	NA	AC	J01EB	reported.zero
Sweden	2015	NA	AC	J01EB	reported.zero
United Kingdom	2015	NA	AC	J01EB	reported.zero
Austria	2015	NA	AC	J01EC	reported.zero
Belgium	2015	NA	AC	J01EC	reported.zero
Bulgaria	2015	NA	AC	J01EC	reported.zero
Croatia	2015	NA	AC	J01EC	reported.zero
Cyprus	2015	0.0027	AC	J01EC	pc.hosp.total
Czech Republic	2015	NA	AC	J01EC	reported.zero
Denmark	2015	NA	AC	J01EC	reported.zero
Estonia	2015	NA	AC	J01EC	reported.zero
Finland	2015	NA	AC	J01EC	reported.zero
France	2015	0.0252	AC	J01EC	NA
Germany	2015	0.0094	AC	J01EC	NA
Greece	2015	0.0029	AC	J01EC	NA
Hungary	2015	NA	AC	J01EC	reported.zero
Iceland	2015	NA	AC	J01EC	reported.zero
Ireland	2015	NA	AC	J01EC	reported.zero
Italy	2015	NA	AC	J01EC	reported.zero
Latvia	2015	4e-04	AC	J01EC	NA
Liechtenstein	2015	NA	AC	J01EC	missing.data
Lithuania	2015	NA	AC	J01EC	reported.zero
Luxembourg	2015	NA	AC	J01EC	reported.zero
Malta	2015	NA	AC	J01EC	reported.zero
Netherlands	2015	0.0015	AC	J01EC	NA
Norway	2015	NA	AC	J01EC	reported.zero
Poland	2015	0.0057	AC	J01EC	NA
Portugal	2015	0.0018	AC	J01EC	NA
Romania	2015	NA	AC	J01EC	reported.zero
Slovakia	2015	NA	AC	J01EC	reported.zero
Slovenia	2015	NA	AC	J01EC	reported.zero
Spain	2015	0.0065	AC	J01EC	NA
Sweden	2015	NA	AC	J01EC	reported.zero
United Kingdom	2015	0.0077	AC	J01EC	NA
Austria	2015	NA	AC	J01ED	reported.zero
Belgium	2015	NA	AC	J01ED	reported.zero
Bulgaria	2015	NA	AC	J01ED	reported.zero
Croatia	2015	NA	AC	J01ED	reported.zero
Cyprus	2015	NA	AC	J01ED	reported.zero
Czech Republic	2015	NA	AC	J01ED	reported.zero
Denmark	2015	NA	AC	J01ED	reported.zero
Estonia	2015	NA	AC	J01ED	reported.zero
Finland	2015	NA	AC	J01ED	reported.zero
France	2015	NA	AC	J01ED	reported.zero
Germany	2015	NA	AC	J01ED	reported.zero
Greece	2015	NA	AC	J01ED	reported.zero
Hungary	2015	NA	AC	J01ED	reported.zero
Iceland	2015	NA	AC	J01ED	reported.zero
Ireland	2015	NA	AC	J01ED	reported.zero
Italy	2015	NA	AC	J01ED	reported.zero
Latvia	2015	NA	AC	J01ED	reported.zero
Liechtenstein	2015	NA	AC	J01ED	missing.data
Lithuania	2015	NA	AC	J01ED	reported.zero
Luxembourg	2015	NA	AC	J01ED	reported.zero
Malta	2015	NA	AC	J01ED	reported.zero
Netherlands	2015	NA	AC	J01ED	reported.zero
Norway	2015	NA	AC	J01ED	reported.zero
Poland	2015	NA	AC	J01ED	reported.zero
Portugal	2015	NA	AC	J01ED	reported.zero
Romania	2015	NA	AC	J01ED	reported.zero
Slovakia	2015	NA	AC	J01ED	reported.zero
Slovenia	2015	NA	AC	J01ED	reported.zero
Spain	2015	NA	AC	J01ED	reported.zero
Sweden	2015	NA	AC	J01ED	reported.zero
United Kingdom	2015	1e-05	AC	J01ED	NA
Austria	2015	0.077	AC	J01EE	NA
Belgium	2015	0.209	AC	J01EE	NA
Bulgaria	2015	0.794	AC	J01EE	NA
Croatia	2015	0.627	AC	J01EE	NA
Cyprus	2015	0.212	AC	J01EE	pc.hosp.total
Czech Republic	2015	0.757	AC	J01EE	NA
Denmark	2015	NA	AC	J01EE	reported.zero
Estonia	2015	0.4	AC	J01EE	NA
Finland	2015	0.404	AC	J01EE	NA
France	2015	0.381	AC	J01EE	NA
Germany	2015	0.412	AC	J01EE	NA
Greece	2015	0.403	AC	J01EE	NA
Hungary	2015	0.511	AC	J01EE	NA
Iceland	2015	0.307	AC	J01EE	NA
Ireland	2015	0.158	AC	J01EE	NA
Italy	2015	0.338	AC	J01EE	NA
Latvia	2015	0.836	AC	J01EE	NA
Liechtenstein	2015	NA	AC	J01EE	missing.data
Lithuania	2015	0.353	AC	J01EE	NA
Luxembourg	2015	0.276	AC	J01EE	NA
Malta	2015	0.24	AC	J01EE	NA
Netherlands	2015	0.281	AC	J01EE	NA
Norway	2015	0.33	AC	J01EE	NA
Poland	2015	0.51	AC	J01EE	NA
Portugal	2015	0.424	AC	J01EE	NA
Romania	2015	0.884	AC	J01EE	pc.hosp.total
Slovakia	2015	0.427	AC	J01EE	NA
Slovenia	2015	0.788	AC	J01EE	NA
Spain	2015	0.26	AC	J01EE	NA
Sweden	2015	0.257	AC	J01EE	NA
United Kingdom	2015	0.124	AC	J01EE	NA
Austria	2015	3.06	AC	J01F	NA
Belgium	2015	3.63	AC	J01F	NA
Bulgaria	2015	3.81	AC	J01F	NA
Croatia	2015	3.1	AC	J01F	NA
Cyprus	2015	3.27	AC	J01F	pc.hosp.total
Czech Republic	2015	3.98	AC	J01F	NA
Denmark	2015	1.84	AC	J01F	NA
Estonia	2015	2.45	AC	J01F	NA
Finland	2015	1.03	AC	J01F	NA
France	2015	3.23	AC	J01F	NA
Germany	2015	2.4	AC	J01F	NA
Greece	2015	7.5	AC	J01F	NA
Hungary	2015	3.3	AC	J01F	NA
Iceland	2015	1.71	AC	J01F	NA
Ireland	2015	4.2	AC	J01F	NA
Italy	2015	4.61	AC	J01F	NA
Latvia	2015	1.83	AC	J01F	NA
Liechtenstein	2015	NA	AC	J01F	missing.data
Lithuania	2015	1.92	AC	J01F	NA
Luxembourg	2015	3.64	AC	J01F	NA
Malta	2015	4	AC	J01F	NA
Netherlands	2015	1.39	AC	J01F	NA
Norway	2015	1.31	AC	J01F	NA
Poland	2015	4.6	AC	J01F	NA
Portugal	2015	3.06	AC	J01F	NA
Romania	2015	3.18	AC	J01F	pc.hosp.total
Slovakia	2015	6.2	AC	J01F	NA
Slovenia	2015	1.86	AC	J01F	NA
Spain	2015	2.25	AC	J01F	NA
Sweden	2015	0.6	AC	J01F	NA
United Kingdom	2015	3.1	AC	J01F	NA
Austria	2015	2.37	AC	J01FA	NA
Belgium	2015	3.27	AC	J01FA	NA
Bulgaria	2015	3.1	AC	J01FA	NA
Croatia	2015	2.77	AC	J01FA	NA
Cyprus	2015	3.18	AC	J01FA	pc.hosp.total
Czech Republic	2015	3.67	AC	J01FA	NA
Denmark	2015	1.78	AC	J01FA	NA
Estonia	2015	2.27	AC	J01FA	NA
Finland	2015	0.8	AC	J01FA	NA
France	2015	2.21	AC	J01FA	NA
Germany	2015	1.75	AC	J01FA	NA
Greece	2015	7.16	AC	J01FA	NA
Hungary	2015	2.7	AC	J01FA	NA
Iceland	2015	1.57	AC	J01FA	NA
Ireland	2015	4.13	AC	J01FA	NA
Italy	2015	4.57	AC	J01FA	NA
Latvia	2015	1.7	AC	J01FA	NA
Liechtenstein	2015	NA	AC	J01FA	missing.data
Lithuania	2015	1.89	AC	J01FA	NA
Luxembourg	2015	3.18	AC	J01FA	NA
Malta	2015	3.81	AC	J01FA	NA
Netherlands	2015	1.2	AC	J01FA	NA
Norway	2015	1.07	AC	J01FA	NA
Poland	2015	3.77	AC	J01FA	NA
Portugal	2015	3.02	AC	J01FA	NA
Romania	2015	3.03	AC	J01FA	pc.hosp.total
Slovakia	2015	5.74	AC	J01FA	NA
Slovenia	2015	1.64	AC	J01FA	NA
Spain	2015	2.15	AC	J01FA	NA
Sweden	2015	0.28	AC	J01FA	NA
United Kingdom	2015	3.03	AC	J01FA	NA
Austria	2015	0.689	AC	J01FF	NA
Belgium	2015	0.367	AC	J01FF	NA
Bulgaria	2015	0.714	AC	J01FF	NA
Croatia	2015	0.329	AC	J01FF	NA
Cyprus	2015	0.087	AC	J01FF	pc.hosp.total
Czech Republic	2015	0.313	AC	J01FF	NA
Denmark	2015	0.054	AC	J01FF	NA
Estonia	2015	0.177	AC	J01FF	NA
Finland	2015	0.228	AC	J01FF	NA
France	2015	0.083	AC	J01FF	NA
Germany	2015	0.643	AC	J01FF	NA
Greece	2015	0.348	AC	J01FF	NA
Hungary	2015	0.597	AC	J01FF	NA
Iceland	2015	0.14	AC	J01FF	NA
Ireland	2015	0.067	AC	J01FF	NA
Italy	2015	0.04	AC	J01FF	NA
Latvia	2015	0.125	AC	J01FF	NA
Liechtenstein	2015	NA	AC	J01FF	missing.data
Lithuania	2015	0.029	AC	J01FF	NA
Luxembourg	2015	0.458	AC	J01FF	NA
Malta	2015	0.19	AC	J01FF	NA
Netherlands	2015	0.19	AC	J01FF	NA
Norway	2015	0.24	AC	J01FF	NA
Poland	2015	0.829	AC	J01FF	NA
Portugal	2015	0.04	AC	J01FF	NA
Romania	2015	0.15	AC	J01FF	pc.hosp.total
Slovakia	2015	0.468	AC	J01FF	NA
Slovenia	2015	0.219	AC	J01FF	NA
Spain	2015	0.104	AC	J01FF	NA
Sweden	2015	0.316	AC	J01FF	NA
United Kingdom	2015	0.062	AC	J01FF	NA
Austria	2015	NA	AC	J01FG	reported.zero
Belgium	2015	NA	AC	J01FG	reported.zero
Bulgaria	2015	NA	AC	J01FG	reported.zero
Croatia	2015	NA	AC	J01FG	reported.zero
Cyprus	2015	NA	AC	J01FG	reported.zero
Czech Republic	2015	NA	AC	J01FG	reported.zero
Denmark	2015	NA	AC	J01FG	reported.zero
Estonia	2015	NA	AC	J01FG	reported.zero
Finland	2015	NA	AC	J01FG	reported.zero
France	2015	0.939	AC	J01FG	NA
Germany	2015	NA	AC	J01FG	reported.zero
Greece	2015	NA	AC	J01FG	reported.zero
Hungary	2015	NA	AC	J01FG	reported.zero
Iceland	2015	NA	AC	J01FG	reported.zero
Ireland	2015	NA	AC	J01FG	reported.zero
Italy	2015	NA	AC	J01FG	reported.zero
Latvia	2015	NA	AC	J01FG	reported.zero
Liechtenstein	2015	NA	AC	J01FG	missing.data
Lithuania	2015	NA	AC	J01FG	reported.zero
Luxembourg	2015	NA	AC	J01FG	reported.zero
Malta	2015	NA	AC	J01FG	reported.zero
Netherlands	2015	NA	AC	J01FG	reported.zero
Norway	2015	NA	AC	J01FG	reported.zero
Poland	2015	NA	AC	J01FG	reported.zero
Portugal	2015	NA	AC	J01FG	reported.zero
Romania	2015	NA	AC	J01FG	reported.zero
Slovakia	2015	NA	AC	J01FG	reported.zero
Slovenia	2015	NA	AC	J01FG	reported.zero
Spain	2015	NA	AC	J01FG	reported.zero
Sweden	2015	NA	AC	J01FG	reported.zero
United Kingdom	2015	NA	AC	J01FG	reported.zero
Austria	2015	0.016	AC	J01G	NA
Belgium	2015	0.013	AC	J01G	NA
Bulgaria	2015	0.169	AC	J01G	NA
Croatia	2015	0.005	AC	J01G	NA
Cyprus	2015	0.063	AC	J01G	pc.hosp.total
Czech Republic	2015	0.069	AC	J01G	NA
Denmark	2015	0.008	AC	J01G	NA
Estonia	2015	0.006	AC	J01G	NA
Finland	2015	0.008	AC	J01G	NA
France	2015	0.035	AC	J01G	NA
Germany	2015	0.014	AC	J01G	NA
Greece	2015	0.053	AC	J01G	NA
Hungary	2015	0.011	AC	J01G	NA
Iceland	2015	0.001	AC	J01G	NA
Ireland	2015	0.025	AC	J01G	NA
Italy	2015	0.031	AC	J01G	NA
