Age,population_2001,population_2002,population_2003,population_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016
62,518998,512825,487649,517519,568376,593864,593427,602342,763079,701351,655668,634030,615531,607406,621467,626021
63,513385,513581,507156,481413,511480,561989,587308,587679,596478,759311,694644,651170,629638,612134,604132,617979
64,500433,507516,507684,500643,474268,505485,554331,582859,581513,590496,754834,689092,646342,625554,608277,600090
65,485336,493481,500396,500211,493805,465599,498887,549080,578235,575716,583734,748232,683241,641331,620767,603270
66,470230,478045,485716,492833,493157,485662,458375,493658,542998,573564,568762,578082,741248,677476,635505,615157
67,450407,462824,470284,477679,485417,484532,477921,452053,487828,536856,568066,562737,572211,734310,670917,629501
68,446483,442503,454969,461707,469460,476524,476665,471156,444934,482029,530065,561353,556110,565948,726423,663797
69,446408,437598,433742,446047,453167,459984,468021,469426,463771,437823,475329,522865,553986,549229,559209,717775
70,445175,436945,428082,424618,437443,443867,451279,460137,461573,455976,429873,468227,515171,546155,541670,551517
71,432295,434255,426832,418006,415300,427804,434613,442609,451652,453500,447400,422429,460702,507206,537683,533364
72,414808,420739,422610,415810,407558,405128,418319,425626,433280,442923,444693,438917,414587,452410,498350,528711
73,396409,402308,408464,410470,404712,396163,395090,408890,415726,423673,433494,435605,429799,406555,443736,488707
74,389833,383231,389160,395603,398190,392694,384999,385028,398664,405456,413458,424183,426011,420701,397592,434181
75,378854,375246,369458,375289,382691,385150,380823,373613,374244,388198,394696,403217,413690,416017,410486,388021
76,362094,363091,359856,355175,361046,368952,371775,368573,361500,363015,377001,383868,391907,403059,404720,399669
77,347710,345619,346714,344004,340572,346535,354927,358254,355596,348940,351160,365375,372021,380522,390576,392692
78,333976,330453,328588,329972,327927,325180,331732,340542,344090,342525,335955,338973,352595,360032,367618,377527
79,331833,316123,312438,311106,312619,311629,309865,316662,325414,329604,328435,323075,325663,339937,346269,354277
80,328511,311737,297232,294076,293498,295625,294878,293968,300712,310176,314375,313934,308811,312287,324938,331934
81,305327,306512,291304,277915,275483,275737,278253,277790,277279,284537,294390,298713,298392,294490,296883,309653
82,213673,281906,283823,270347,258862,256996,257578,260099,260097,260901,268068,277822,281546,282672,278088,281157
83,171282,197743,258239,260853,249561,239929,238599,239204,242069,242640,243870,251147,260165,264809,264593,261327
84,173428,155914,181843,234319,238265,228914,220749,219799,220350,224034,224587,226194,232788,242927,245732,246514
85,164933,156243,140337,165812,210754,216090,208566,201378,200670,201993,205520,206683,207513,215312,223300,226887
86,157504,146718,139250,124623,150005,188252,194121,188143,182018,182236,183606,187011,187809,190230,195581,203913
87,138479,138674,128870,122427,110034,134946,166109,172830,167819,163399,163857,165271,167975,170093,170607,176572
88,118365,120363,120537,111478,106516,96073,120837,144226,151481,148876,145212,145904,146582,150189,150400,151877
89,98037,101172,102817,103192,95106,91790,82871,106992,123213,131755,130162,127065,127069,129328,130672,132031
90,340177,350701,360045,368624,376613,378668,379190,368646,382671,410525,440292,465504,478217,499230,504030,517447
