country	strain	DALY.lo	DALY.mid	DALY.hi	cases.lo	cases.mid	cases.hi	deaths.lo	deaths.mid	deaths.hi
Austria	ColRACI	3.26684696936396	7.39583126230117	12.0717893479799	1.96920316036672	3.32035538782099	4.67487819834816	0.115274214299049	0.297047844015064	0.502788276632739
Austria	CRACI	85.5993578397772	116.456557021592	156.192567516974	16.5263752386562	19.9574104843264	23.5350833050292	1.25127454501203	1.71342765892404	2.25277527420658
Austria	MDRACI	0	0	0	0	0	0	0	0	0
Austria	VRE	108.489682816636	146.219341639602	195.173078230504	60.2237980165321	85.5784978390205	112.37899472239	4.16528910017428	5.66977114343169	7.38168275024582
Austria	ColREC	2.10753169187085	4.05100051649541	6.64334745201329	5.15454745280057	8.75641273814624	12.3176882237501	0.389864655360801	0.763636932914779	1.25784626719488
Austria	CREC	5.87407656013488	10.9754255541742	17.7559245469343	5.11279182427314	8.6479169161019	12.2974348523209	0.248246117169228	0.478857397471869	0.783217884478766
Austria	3GCREC	2249.76969493276	2507.7559657701	2766.54837654863	3491.07024967861	3928.68837467026	4388.11697976525	106.215401889009	121.048651422077	136.75492862695
Austria	ColRKP	31.1000759277862	45.252991207892	62.9236466854058	6.58590323835638	9.79385921297865	13.0667701767279	1.48529508607851	2.18509155297773	3.05199092330628
Austria	CRKP	54.3858916829759	76.1721629564766	101.288375248859	16.7702738606108	22.8205244023337	29.0015262713328	2.28102209430789	3.0786620834667	3.9800030187478
Austria	3GCRKP	514.854607838541	556.263414144967	598.94194481164	312.240366051561	347.035326392812	382.119034261417	17.3228049668084	18.8693325069391	20.4633841985679
Austria	ColRPA	5.81823680261146	14.3316603180171	27.3824236357077	4.19953167803834	8.57365513877696	13.0105230173026	0.19581552204211	0.563286213154528	1.14847038092918
Austria	CRPA	1322.88620753834	1610.21062124907	1916.58544127134	609.347798264717	709.850484666348	805.795512417237	38.4175279252306	48.2212806475085	59.1499156714019
Austria	MDRPA	18.8825144375436	31.3965134270427	46.2403704199675	17.8479504688167	25.5815182886848	33.6504276110687	0.923271971252941	1.6600029568281	2.53691502808352
Austria	MRSA	1262.97523790442	1365.34233070946	1463.24634848237	1273.64061761452	1397.96487829281	1525.10165379618	62.184874549422	67.6335527166361	72.9149352800115
Austria	PRSP	30.6685012575893	35.5313867075661	42.1847462710144	19.4648235834351	22.8854471627566	27.2589844267487	1.21802270236298	1.4041078218003	1.63077292071924
Austria	PMRSP	95.4602006216868	109.15542109322	128.050253815193	30.3297680831944	34.4112744952468	40.1510376068983	1.88616046618928	2.11053003173443	2.36383775577494
Austria	total	5792.13866482204	6636.51062357798	7541.22863428453	5870.48399821449	6633.86593608843	7422.476528652	238.300145804719	275.69723892988	316.173464257251
Belgium	ColRACI	29.5160676696001	65.2457780538275	108.572476595339	22.5620661989915	37.091852060049	53.1853867110506	1.29652201607851	3.30335464425897	5.73191837135423
Belgium	CRACI	0	0	0	0	0	0	0	0	0
Belgium	MDRACI	0	0	0	0	0	0	0	0	0
Belgium	VRE	41.9413310544108	69.483468637684	107.225688926909	21.5944409332706	42.4514908069294	65.6831036241512	1.63504757470671	2.72330423656548	4.20294821235778
Belgium	ColREC	502.335335363079	668.464979021812	850.345629817656	247.148796582744	294.840417851686	341.819472470385	20.0109840103835	25.829448170632	31.3910639643488
Belgium	CREC	0	0	0	0	0	0	0	0	0
Belgium	3GCREC	4606.63389140442	5127.83906510018	5662.91500615963	6950.7881399847	7814.03791887141	8677.86267032953	210.615077840497	240.271787238493	272.390580740134
Belgium	ColRKP	215.75424632302	304.340631132411	410.600633636538	56.3585937360613	76.8797999475778	98.0311731004745	12.4993107228134	17.1049926944343	22.9900676931124
Belgium	CRKP	82.3071099721692	130.266085670967	194.794266610944	15.7209808659996	25.5095955573076	35.6880141999314	2.17525555628291	3.43764731291281	4.99922388208349
Belgium	3GCRKP	1275.21700958019	1395.273568815	1510.53690072813	1130.99597946901	1271.8118962179	1415.43627703361	63.3363171026752	69.5706961849753	75.7686014562377
Belgium	ColRPA	21.6073063065372	54.187417253024	102.675966712032	15.8654922809121	31.8599820195555	48.658999658398	0.745891000025551	2.14213381365083	4.29061140833286
Belgium	CRPA	362.037976639241	550.012282805707	785.943466148675	243.671068931289	322.38717293278	399.248883252185	14.3652434673297	21.8106820836544	31.1534169760139
Belgium	MDRPA	115.556252155875	207.889871027624	325.186253258519	86.3928094710813	127.624502050442	170.627824240082	4.32452504156432	7.991017781079	12.5416941763632
Belgium	MRSA	3145.59218827933	3364.92311946004	3593.65921774534	2554.81489560128	2800.31488775817	3044.60517478611	122.151748549569	132.941363103091	144.02048219549
Belgium	PRSP	53.719823239404	60.7987605913572	70.3798469298857	25.7424644594387	29.525841920761	34.9927987673788	1.61404214244843	1.82338703199471	2.08462587288451
Belgium	PMRSP	61.6900524980601	71.6399331513669	86.5574713882494	15.0386195140332	17.5843652575559	21.8225377478753	0.928282166816512	1.08584727757035	1.29713944129212
Belgium	total	10513.9085904853	12070.364960721	13809.3928246578	11386.6943480288	12891.9197232521	14407.6623159212	455.69824719119	530.035661573312	612.862374390005
Bulgaria	ColRACI	0	0	0	0	0	0	0	0	0
Bulgaria	CRACI	3071.27884185817	3666.11245019262	4295.22103172143	887.300314705476	1001.34108796465	1111.02329861076	72.3387055615178	86.9528185887378	102.941833477853
Bulgaria	MDRACI	170.76636411797	233.970080650597	297.954588265016	69.1155255382168	83.3213621407731	97.7051143215386	5.09860448003983	7.14636316777242	9.1517351891857
